reaction,Q_keV,alpha,beta,gamma
n_p__d_g,2224.57,4.7161412e+09,1.5,-25.81502
d_p__He3_g,5493.48,1.6335106e+10,1.5,-63.749131
d_d__He3_n,3268.91,1.7318296,0,-37.934112
d_d__t_p,4032.66,1.7349209,0,-46.79712
t_p__a_g,19813.9,2.6105756e+10,1.5,-229.93037
t_d__a_n,17589.3,5.5354059,0,-204.11535
t_a__Li7_g,2467.62,1.1132991e+10,1.5,-28.635562
He3_n__t_p,763.755,1.001785,0,-8.8630089
He3_d__a_p,18353.1,5.5452865,0,-212.97836
He3_a__Be7_g,1587.13,1.1128946e+10,1.5,-18.417934
Be7_n__Li7_p,1644.24,1.0021491,0,-19.080637
Li7_p__a_a,17346.2,4.6898011,0,-201.29481
Be7_n__a_a,18991.49,4.6982,0,-220.3871
Be7_d__a_a_p,16766.93,9.9579e-10,-1.5,-194.5722
d_a__Li6_g,1473.76,1.53053e+10,1.5,-17.1023
Li6_p__Be7_g,5606.85,1.18778e+10,1.5,-65.0648
Li6_p__He3_a,4019.72,1.06729,0,-46.6469
B8_n__a_a_p,18853.99,3.6007e-10,-1.5,-218.7915
Li6_He3__a_a_p,16879.18,7.2413e-10,-1.5,-195.8748
Li6_t__a_a_n,16115.54,7.2333e-10,-1.5,-187.0131
Li6_t__Li8_p,801.93,2.0167,0,-9.306
Li7_He3__Li6_a,13327.63,2.1972,0,-154.6607
Li8_He3__Li7_a,18544.98,1.9994,0,-215.2055
Be7_t__Li6_a,14208.11,2.1977,0,-164.8783
B8_t__Be7_a,19676.34,1.9999,0,-228.3344
B8_n__Li6_He3,1974.81,0.49669,0,-22.9167
B8_n__Be7_d,2087.07,0.36119,0,-24.2194
Li6_t__Li7_d,993.85,0.72734,0,-11.5332
Li6_He3__Be7_d,113.38,0.72719,0,-1.3157
Li7_He3__a_a_d,11853.79,2.87e-10,-1.5,-137.5575
Li8_He3__a_a_t,16078.40,3.5907e-10,-1.5,-186.5821
Be7_t__a_a_d,12734.27,2.8706e-10,-1.5,-147.7751
Be7_t__Li7_He3,880.48,1.0002,0,-10.2176
B8_d__Be7_He3,5355.97,1.2514,0,-62.1535
B8_t__a_a_He3,18090.24,3.5922e-10,-1.5,-209.9285
Be7_He3__p_p_a_a,11272.45,1.2201e-19,-3,-130.8113
d_d__a_g,23846.50,4.531e+10,1.5,-276.7271
He3_He3__a_p_p,12859.56,3.3915e-10,-1.5,-149.229
Be7_p__B8_g,136.37,1.3063e+10,1.5,-1.5825
Li7_d__a_a_n,15122.70,9.9435e-10,-1.5,-175.4916
d_n__t_g,6257.23,1.6364262e+10,1.5,-72.612132
t_t__a_n_n,11332.07,3.3826187e-10,-1.5,-131.50322
He3_n__a_g,20577.62,2.6152351e+10,1.5,-238.79338
He3_t__a_d,14320.39,1.5981381,0,-166.18124
He3_t__a_n_p,12095.83,3.3886566e-10,-1.5,-140.36623
Li7_t__a_a_n_n_alt,8864.45,1.2153497e-19,-3,-102.86767
Li7_He3__a_a_n_p,9628.21,6.0875952e-20,-3,-111.73068
Li8_d__Li7_t,4224.61,1.2509926,0,-49.02453
Be7_t__a_a_n_p,10508.69,6.0898077e-20,-3,-121.9483
Be7_He3__a_a_p_p,11272.45,1.2201356e-19,-3,-130.81131
Li6_n__t_a,4783.47,1.0691921,0,-55.509875
He3_t__Li6_g,15794.15,2.4459918e+10,1.5,-183.2835
a_n_p__Li6_g,3698.32,7.2181753e+19,3,-42.917276
Li6_n__Li7_g,7251.09,1.1903305e+10,1.5,-84.145424
Li6_d__Li7_p,5026.53,2.5239503,0,-58.330405
Li6_d__Be7_n,3382.28,2.5185377,0,-39.249773
Li7_n__Li8_g,2032.62,1.3081022e+10,1.5,-23.587602
Li7_d__Li8_p,-191.94,2.7736709,0,2.2274166
Li8_p__a_a_n,15313.62,3.5851946e-10,-1.5,-177.70722
a_n_n__He6_g,975.45,1.0837999e+20,3,-11.319626
p_p_n__d_p,2224.57,2.3580703e+09,1.5,-25.815019
Li7_t__a_a_n_n,8864.45,1.2153497e-19,-3,-102.86767
Li7_p__a_a_g,17346.26,4.6898,0,-201.295
